id,short_name,name,start_date,end_date,city,country
2003-UNFCCC-SYN-COOP-WS,UNFCCC SYN-COOP WS,Workshop on synergies and cooperation with other conventions,2003-07-02,2003-07-04,Espoo,Finland
2003-COP-9,COP 9,Ninth Conference of the Parties to the UN Framework Convention on Climate Change,2003-12-01,2003-12-15,Milan,Italy
2004-UNFCCC-WS-PC,UNFCCC WS PC,United Nations Framework Convention on Climate Change (UNFCCC) workshop on the preparation of national communications from non- Annex I Parties,2004-05-03,2004-05-03,Manila,the Philippines
2004-SB-20,SB-20,Twentieth Session of the Subsidiary Bodies to the UN Framework Convention on Climate Change,2004-06-16,2004-06-28,Bonn,Germany
2004-UNFCCC-WS-EP,UNFCCC WS EP,United Nations Framework Convention on Climate Change (UNFCCC) workshop on emissions projections from Parties included in Annex I of the UNFCCC,2004-09-10,2004-09-10,Bonn,Germany
2004-UNFCCC-WS-FIN-TT,UNFCCC WS FIN TT,UNFCCC Workshop on innovative options for financing the development and transfer of technologies,2004-09-27,2004-09-29,Montreal,Canada
2004-IPCC-22,IPCC-22,IPCC- 22,2004-11-09,2004-11-11,New Delhi,India
2004-COP-10,COP 10,Tenth Conference of the Parties to the UN Framework Convention on Climate Change,2004-12-06,2004-12-18,Buenos Aires,Argentina
2005-SOGE,SOGE,Seminar of Governmental Experts,2005-05-19,2005-05-19,Bonn,Germany
2005-SB-22,SB-22,United Nations Framework Convention on Climate Change: Twenty- Second Session of the Subsidiary Bodies,2005-05-19,2005-05-30,Bonn,Germany
2005-UNFCCC-WS-CCTOB,UNFCCC WS CCTOB,UNFCCC seminar on the development and transfer of environmentally sound technologies for adaptation to climate change,2005-06-14,2005-06-16,Tobago,Trinidad and Tobago
2005-IPCC-24,IPCC-24,8th Session of WG- III and IPCC- 24,2005-09-22,2005-09-28,Montreal,Canada
2005-UNFCCC-WS-V&ampA,UNFCCC WS V&ampA,"UNFCCC Workshop on the Development of the Five- Year Programme of Work on Impacts, Vulnerability and Adaptation to Climate Change",2005-10-17,2005-10-19,Bonn,Germany
2005-COP-11-CMP-1,COP 11 - CMP 1,Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol,2005-11-28,2005-12-09,Montréal,Canada
2006-IPCC-25,IPCC-25,IPCC- 25,2006-04-26,2006-04-28,Port Louis,Mauritius
2006-SB-24,SB 24,Twenty- Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings,2006-05-15,2006-05-26,Bonn,Germany
2006-COP-12-CMP-2,COP 12 - CMP 2,UN Climate Change Conference – Nairobi 2006,2006-11-06,2006-11-17,Nairobi,Kenya
2007-IPCC-WGI,IPCC WGI,Tenth Session of the IPCC Working Group I (WGI),2007-01-29,2007-02-01,UNESCO HQ,Paris
2007-IPCC-WGII,IPCC WGII,Eighth session of the IPCC Working Group II,2007-04-02,2007-04-05,Brussels,Belgium
2007-IPCC-WGIII,IPCC WGIII,Ninth session of the IPCC Working Group III (WGIII),2007-04-30,2007-05-04,Bangkok,Thailand
2007-SB-26,SB 26,Twenty- sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC),2007-05-07,2007-05-18,Bonn,Germany
2007-AWG-4,AWG-4,Vienna Climate Change Talks 2007 - AWG 4 and the Dialogue 4,2007-08-27,2007-08-31,Vienna,Austria
2007-UNFCCC-WS-V&A-NWP,UNFCCC WS V&A NWP,"UN Framework Convention on Climate Change (UNFCCC) Workshop on Adaptation Planning and Practices under the Nairobi Work Programme on Impacts, Vulnerability and Adaptation to Climate Change (NWP)",2007-09-15,2007-09-15,FAO HQ,Rome
2007-IPCC-27,IPCC-27,IPCC- 27,2007-11-12,2007-11-17,Valencia,Spain
2008-COP-13-CMP-3,COP 13 - CMP 3,United Nations Climate Change Conference - Bali,2008-12-03,2008-12-15,Bali,Indonesia
2008-UNFCCC-WS-NWP-MT,UNFCCC WS NWP MT,"UNFCCC Expert Group Meeting on Methods and Tools and on Data and Observations under the Nairobi Work Programme on Impacts, Vulnerability and Adaptation to Climate Change (NWP)",2008-03-04,2008-03-07,Mexico City,Mexico
2008-UNFCCC-WS-NPW-SI,UNFCCC WS NPW SI,"UNFCCC Expert Group Meeting on socioeconomic information under the Nairobi Work Programme on Impacts, Vulnerability and Adaptation to Climate Change (NWP)",2008-03-10,2008-03-12,Port of Spain,Trinidad and Tobago
