id,event_id,issue,date,pdf,html
enb12493e,2010-COP-16-CMP-6,493,2010-12-06,http://www.iisd.ca/download/pdf/enb12493e.pdf,http://www.iisd.ca/vol12/enb12493e.html
enb12494e,2010-COP-16-CMP-6,494,2010-12-07,http://www.iisd.ca/download/pdf/enb12494e.pdf,http://www.iisd.ca/vol12/enb12494e.html
enb12495e,2010-COP-16-CMP-6,495,2010-12-08,http://www.iisd.ca/download/pdf/enb12495e.pdf,http://www.iisd.ca/vol12/enb12495e.html
enb12496e,2010-COP-16-CMP-6,496,2010-12-09,http://www.iisd.ca/download/pdf/enb12496e.pdf,http://www.iisd.ca/vol12/enb12496e.html
enb12497e,2010-COP-16-CMP-6,497,2010-12-10,http://www.iisd.ca/download/pdf/enb12497e.pdf,http://www.iisd.ca/vol12/enb12497e.html
enb12498e,2010-COP-16-CMP-6,498,2010-12-11,http://www.iisd.ca/download/pdf/enb12498e.pdf,http://www.iisd.ca/vol12/enb12498e.html
enb12499e,2011-AWGs-CCWG14,499,2011-04-08,http://www.iisd.ca/download/pdf/enb12499e.pdf,http://www.iisd.ca/vol12/enb12499e.html
enb12500e,2011-IPCC-33,500,2011-05-13,http://www.iisd.ca/download/pdf/enb12500e.pdf,http://www.iisd.ca/vol12/enb12500e.html
enb12501e,2011-UNFCCC-WS-TNA,501,2011-06-02,http://www.iisd.ca/download/pdf/enb12501e.pdf,http://www.iisd.ca/vol12/enb12501e.html
enb12502e,2011-SB-34,502,2011-06-06,http://www.iisd.ca/download/pdf/enb12502e.pdf,http://www.iisd.ca/vol12/enb12502e.html
enb12503e,2011-SB-34,503,2011-06-07,http://www.iisd.ca/download/pdf/enb12503e.pdf,http://www.iisd.ca/vol12/enb12503e.html
enb12504e,2011-SB-34,504,2011-06-08,http://www.iisd.ca/download/pdf/enb12504e.pdf,http://www.iisd.ca/vol12/enb12504e.html
enb12505e,2011-SB-34,505,2011-06-09,http://www.iisd.ca/download/pdf/enb12505e.pdf,http://www.iisd.ca/vol12/enb12505e.html
enb12506e,2011-SB-34,506,2011-06-10,http://www.iisd.ca/download/pdf/enb12506e.pdf,http://www.iisd.ca/vol12/enb12506e.html
enb12507e,2011-SB-34,507,2011-06-11,http://www.iisd.ca/download/pdf/enb12507e.pdf,http://www.iisd.ca/vol12/enb12507e.html
enb12508e,2011-SB-34,508,2011-06-13,http://www.iisd.ca/download/pdf/enb12508e.pdf,http://www.iisd.ca/vol12/enb12508e.html
enb12509e,2011-SB-34,509,2011-06-14,http://www.iisd.ca/download/pdf/enb12509e.pdf,http://www.iisd.ca/vol12/enb12509e.html
enb12510e,2011-SB-34,510,2011-06-15,http://www.iisd.ca/download/pdf/enb12510e.pdf,http://www.iisd.ca/vol12/enb12510e.html
enb12511e,2011-SB-34,511,2011-06-16,http://www.iisd.ca/download/pdf/enb12511e.pdf,http://www.iisd.ca/vol12/enb12511e.html
enb12512e,2011-SB-34,512,2011-06-17,http://www.iisd.ca/download/pdf/enb12512e.pdf,http://www.iisd.ca/vol12/enb12512e.html
enb12513e,2011-SB-34,513,2011-06-17,http://www.iisd.ca/download/pdf/enb12513e.pdf,http://www.iisd.ca/vol12/enb12513e.html
enb12514e,2011-AWGs-CCWG16,514,2011-10-01,http://www.iisd.ca/download/pdf/enb12514e.pdf,http://www.iisd.ca/vol12/enb12514e.html
enb12515e,2011-AWGs-CCWG16,515,2011-10-02,http://www.iisd.ca/download/pdf/enb12515e.pdf,http://www.iisd.ca/vol12/enb12515e.html
enb12516e,2011-AWGs-CCWG16,516,2011-10-03,http://www.iisd.ca/download/pdf/enb12516e.pdf,http://www.iisd.ca/vol12/enb12516e.html
enb12517e,2011-AWGs-CCWG16,517,2011-10-04,http://www.iisd.ca/download/pdf/enb12517e.pdf,http://www.iisd.ca/vol12/enb12517e.html
enb12518e,2011-AWGs-CCWG16,518,2011-10-05,http://www.iisd.ca/download/pdf/enb12518e.pdf,http://www.iisd.ca/vol12/enb12518e.html
